Hero Name,Role,Rank,Pick Rate,Win Rate,hero_score,tier
Black Panther,Duelist,Grandmaster,0.024900000000000002,0.5061,-0.16852209318964356,B
Captain America,Vanguard,Grandmaster,0.0241,0.5111,-0.6059148121186757,C
Squirrel Girl,Duelist,Grandmaster,0.0204,0.43810000000000004,-1.089885054955473,D
Iron Man,Duelist,Grandmaster,0.0167,0.4806,-0.6243500846573192,C
Mister Fantastic,Duelist,Grandmaster,0.0166,0.5,-0.38493158739390576,C
Scarlet Witch,Duelist,Grandmaster,0.015,0.46259999999999996,-0.8768593705755077,C
Adam Warlock,Strategist,Grandmaster,0.015,0.4797,-0.8149123373025919,C
Storm,Duelist,Grandmaster,0.0138,0.5371,0.02873494291547035,B
Ultron,Strategist,Grandmaster,0.0126,0.49369999999999997,-0.6274770914747702,C
Black Widow,Duelist,Grandmaster,0.011399999999999999,0.39490000000000003,-1.779248462627532,D
Deadpool,Duelist,Grandmaster,0.0101,0.47159999999999996,-0.8480054285195335,C
Blade,Duelist,Grandmaster,0.0078000000000000005,0.4852,-0.7179384436254941,C
Human Torch,Duelist,Grandmaster,0.0069,0.4902,-0.671041393791283,C
Invisible Woman,Strategist,Celestial and Above,0.2659,0.4989,1.1602614894582737,S
Magneto,Vanguard,Celestial and Above,0.2366,0.5063,1.6479102186398484,S
Cloak & Dagger,Strategist,Celestial and Above,0.1978,0.4875,0.5341277303282926,A
Rocket Raccoon,Strategist,Celestial and Above,0.12300000000000001,0.5286,0.6264222041668629,A
Doctor Strange,Vanguard,Celestial and Above,0.1202,0.4646,-0.445391972425597,C
Emma Frost,Vanguard,Celestial and Above,0.11449999999999999,0.47240000000000004,-0.35724188911788396,C
Loki,Strategist,Celestial and Above,0.1075,0.5379,0.6569418541836738,A
Luna Snow,Strategist,Celestial and Above,0.1045,0.45990000000000003,-0.49799728584396485,C
Phoenix,Duelist,Celestial and Above,0.1035,0.5229,1.3717015265169985,S
Hela,Duelist,Celestial and Above,0.09720000000000001,0.5183,1.2078132500543177,S
Spider- Man,Duelist,Celestial and Above,0.0943,0.5243,1.233260270612992,S
Winter Soldier,Duelist,Celestial and Above,0.0942,0.4183,-0.08585204558042614,B
Groot,Vanguard,Celestial and Above,0.0885,0.5329,0.5276110828644154,A
Thor,Vanguard,Celestial and Above,0.0862,0.5362,0.5661371584018388,A
Namor,Duelist,Celestial and Above,0.0818,0.48469999999999996,0.5293519911736176,A
Moon Knight,Duelist,Celestial and Above,0.0764,0.4865,0.4602512842818931,A
Jeff the Land Shark,Strategist,Celestial and Above,0.0702,0.49,-0.2919733424742759,B
Deadpool,Vanguard,Celestial and Above,0.06570000000000001,0.5307999999999999,0.2351315112438544,B
Hulk,Vanguard,Celestial and Above,0.0557,0.5412,0.32615981282253914,A
The Punisher,Duelist,Celestial and Above,0.0556,0.4425,-0.43893808120483224,C
Angela,Vanguard,Celestial and Above,0.0554,0.5351,0.20467887959040318,B
Venom,Vanguard,Celestial and Above,0.0538,0.5219,-0.06869856530149224,B
Daredevil,Duelist,Celestial and Above,0.0501,0.5679,1.0264268444316242,S
The Thing,Vanguard,Celestial and Above,0.0492,0.46659999999999996,-1.190758910031518,D
Star-Lord,Duelist,Celestial and Above,0.048600000000000004,0.5093,0.2727093082910567,B
Hawkeye,Duelist,Celestial and Above,0.045700000000000005,0.5007,0.11670058820802738,B
Iron Fist,Duelist,Celestial and Above,0.0451,0.5245000000000001,0.40233475100619276,A
Mantis,Strategist,Celestial and Above,0.044800000000000006,0.5447,0.3320619323225273,A
Magik,Duelist,Celestial and Above,0.044199999999999996,0.5246999999999999,0.38957511898559505,A
Gambit,Strategist,Celestial and Above,0.0426,0.509,-0.20213413082984896,B
Psylocke,Duelist,Celestial and Above,0.0408,0.5134000000000001,0.19153988919374917,B
Wolverine,Duelist,Celestial and Above,0.0347,0.5207,0.17893832029563944,B
Captain America,Vanguard,Celestial and Above,0.0286,0.5197999999999999,-0.38768327975365335,C
Rogue,Vanguard,Celestial and Above,0.0258,0.5104,-0.6007005741864127,C
Adam Warlock,Strategist,Celestial and Above,0.020499999999999997,0.4903,-0.6235393623391527,C
Peni Parker,Vanguard,Celestial and Above,0.019799999999999998,0.5418999999999999,-0.05675271046002606,B
Deadpool,Strategist,Celestial and Above,0.0166,0.4362,-1.4368897707323889,D
Black Panther,Duelist,Celestial and Above,0.0144,0.4482,-1.0659929675385147,D
Deadpool,Duelist,Celestial and Above,0.0125,0.4257,-1.377818243161779,D
Black Widow,Duelist,Celestial and Above,0.0121,0.3942,-1.776090918766341,D
Mister Fantastic,Duelist,Celestial and Above,0.011899999999999999,0.4953,-0.5229599076656641,C
Human Torch,Duelist,Celestial and Above,0.008,0.5502,0.09330030695787928,B
Iron Man,Duelist,Celestial and Above,0.0068000000000000005,0.516,-0.3520806540547934,C
Ultron,Strategist,Celestial and Above,0.0066,0.44670000000000004,-1.3517384238122094,D
Scarlet Witch,Duelist,Celestial and Above,0.006500000000000001,0.4204,-1.545324676695659,D
Squirrel Girl,Duelist,Celestial and Above,0.0060999999999999995,0.385,-1.9920684063072511,D
Storm,Duelist,Celestial and Above,0.0059,0.4877,-0.7190518345883057,C
Blade,Duelist,Celestial and Above,0.0036,0.41600000000000004,-1.6491338001557327,D
